mountain,
玉山,"N23°28' 14"" E120°56' 56"""
雪山,"N24°23' 08"" E121°13' 23"""
玉山東峰,"N23°28' 21"" E120°57' 27"""
玉山北峰,"N23°29' 30"" E120°57' 05"""
玉山南峰,"N23°26' 53"" E120°57' 02"""
秀姑巒山,"N23°29' 53"" E121°03' 02"""
馬博拉斯山,"N23°31' 20"" E121°03' 34"""
東小南山,"N23°26' 26"" E120°57' 19"""
南湖大山,"N24°21' 49"" E121°25' 44"""
中央尖山,"N24°19' 43"" E121°24' 28"""
雪山北峰,"N24°25' 02"" E121°13' 55"""
關山,"N23°13' 50"" E120°54' 12"""
大水窟山,"N23°28' 32"" E121°01' 50"""
南湖大山東峰,"N24°22' 04"" E121°26' 33"""
東郡大山,"N23°37' 41"" E121°05' 03"""
奇萊主山北峰,"N24°07' 18"" E121°19' 42"""
向陽山,"N23°17' 11"" E120°59' 04"""
大劍山,"N24°20' 33"" E121°11' 32"""
雲峰,"N23°21' 20"" E120°58' 04"""
奇萊主峰,"N24°05' 16"" E121°18' 54"""
馬利加南山,"N23°31' 59"" E121°06' 37"""
南湖北山,"N24°23' 09"" E121°25' 43"""
大雪山,"N24°19' 57"" E121°06' 46"""
品田山,"N24°25' 48"" E121°15' 32"""
頭鷹山,"N24°21' 43"" E121°07' 56"""
三叉山,"N23°17' 58"" E121°01' 14"""
大霸尖山,"N24°27' 40"" E121°14' 59"""
東巒大山,"N23°39' 00"" E121°04' 25"""
玉山西峰,"N23°28' 26"" E120°55' 33"""
南湖大山南峰,"N24°20' 58"" E121°25' 36"""
無明山,"N24°15' 27"" E121°22' 43"""
小霸尖山,"N24°27' 20"" E121°14' 35"""
馬西山,"N23°29' 05"" E121°09' 58"""
合歡山北峰,"N24°10' 59"" E121°16' 24"""
合歡山東峰,"N24°08' 16"" E121°16' 23"""
合歡山,"N24°08' 42"" E121°15' 47"""
南玉山,"N23°25' 53"" E120°55' 01"""
南大水窟山,"N23°27' 06"" E121°02' 30"""
畢祿山,"N24°12' 55"" E121°20' 21"""
巴巴山,"N24°20' 42"" E121°25' 48"""
奇萊主山南峰,"N24°03' 50"" E121°16' 18"""
能高山南峰,"N23°58' 02"" E121°16' 06"""
卓社大山,"N23°50' 10"" E121°06' 16"""
白姑大山,"N24°12' 17"" E121°06' 03"""
南雙頭山,"N23°21' 09"" E121°00' 40"""
新康山,"N23°19' 10"" E121°07' 10"""
桃山,"N24°26' 03"" E121°17' 48"""
佳陽山,"N24°18' 32"" E121°10' 47"""
火石山,"N24°23' 03"" E121°10' 10"""
池有山,"N24°25' 57"" E121°16' 48"""
伊澤山,"N24°28' 19"" E121°14' 08"""
卑南主山,"N23°03' 12"" E120°51' 59"""
志佳陽大山,"N24°21' 42"" E121°14' 26"""
干卓萬山,"N23°52' 40"" E121°07' 51"""
太魯閣大山,"N24°04' 53"" E121°24' 56"""
鈴鳴山,"N24°14' 45"" E121°20' 35"""
轆轆山,"N23°23' 35"" E120°59' 26"""
喀西帕南山,"N23°28' 01"" E121°10' 42"""
郡大山,"N23°35' 26"" E120°56' 55"""
能高山主峰,"N23°59' 38"" E121°15' 07"""
丹大山,"N23°36' 08"" E121°12' 20"""
萬東山西峰,"N23°51' 13"" E121°10' 38"""
劍山,"N24°17' 53"" E121°09' 38"""
屏風山,"N24°09' 06"" E121°20' 05"""
小關山,"N23°09' 12"" E120°52' 06"""
八通關山,"N23°29' 32"" E121°00' 06"""
牧山,"N23°51' 53"" E121°09' 08"""
玉山前峰,"N23°28' 38"" E120°54' 37"""
石門山,"N24°09' 18"" E121°16' 45"""
塔關山,"N23°15' 16"" E120°55' 59"""
無雙山,"N23°35' 39"" E121°02' 58"""
馬比杉山,"N24°21' 01"" E121°28' 41"""
雪山東峰,"N24°23' 28"" E121°15' 48"""
能高北峰,"N24°02' 29"" E121°16' 40"""
義西請馬至山,"N23°35' 18"" E121°08' 42"""
關山嶺山,"N23°16' 23"" E120°57' 04"""
海諾南山,"N23°11' 19"" E120°54' 12"""
中雪山,"N24°21' 17"" E121°04' 10"""
內嶺爾山,"N23°34' 51"" E121°11' 09"""
閂山,"N24°15' 37"" E121°18' 06"""
甘薯峰,"N24°17' 32"" E121°22' 52"""
合歡山西峰,"N24°10' 46"" E121°14' 11"""
審馬陣山,"N24°22' 57"" E121°24' 33"""
達芬尖山,"N23°26' 14"" E121°00' 18"""
喀拉業山,"N24°27' 07"" E121°18' 47"""
庫哈諾辛山,"N23°15' 54"" E120°53' 24"""
加利山,"N24°27' 37"" E121°12' 28"""
駒盆山,"N23°33' 00"" E121°01' 32"""
白石山,"N23°54' 34"" E121°16' 00"""
六順山,"N23°43' 29"" E121°13' 49"""
磐石山,"N24°06' 26"" E121°22' 48"""
帕托魯山,"N24°06' 06"" E121°27' 30"""
大武山,"N22°37' 45"" E120°45' 07"""
巒大山,"N23°41' 43"" E120°56' 21"""
塔芬山,"N23°24' 27"" E121°01' 09"""
立霧主山,"N24°07' 35"" E121°26' 16"""
安東軍山,"N23°52' 26"" E121°15' 28"""
光頭山,"N23°56' 23"" E121°15' 46"""
鹿山,"N23°27' 08"" E120°58' 49"""
布拉克桑山,"N23°14' 06"" E121°04' 16"""
